image,row,col,x,y,brightness,brightness_pct,Power_uW
Analysis_image-Stitched_-9,5,21,3873,1255,69.96,27.4,61.6345781
Analysis_image-Stitched_-9,5,22,4025,1168,10.78,4.2,9.49715197
Analysis_image-Stitched_-9,5,23,4205,1251,69.39,27.2,61.13240959
Analysis_image-Stitched_-9,5,24,4379,1150,68.03,26.7,59.93425312
Analysis_image-Stitched_-9,6,1,297,1414,65.21,25.6,57.44984045
Analysis_image-Stitched_-9,6,2,466,1508,65.99,25.9,58.13701843
Analysis_image-Stitched_-9,6,3,633,1426,65.62,25.7,57.81104939
Analysis_image-Stitched_-9,6,4,805,1503,68.39,26.8,60.25141219
Analysis_image-Stitched_-9,6,5,976,1401,67.41,26.4,59.38803473
Analysis_image-Stitched_-9,6,6,1148,1497,68.13,26.7,60.02235286
Analysis_image-Stitched_-9,6,7,1316,1398,69.13,27.1,60.90335026
Analysis_image-Stitched_-9,6,8,1488,1498,67.37,26.4,59.35279484
Analysis_image-Stitched_-9,6,9,1651,1406,66.69,26.2,58.75371661
Analysis_image-Stitched_-9,6,10,1822,1484,68.56,26.9,60.40118174
Analysis_image-Stitched_-9,6,11,1994,1389,67.94,26.6,59.85496336
Analysis_image-Stitched_-9,6,12,2169,1479,66.04,25.9,58.1810683
Analysis_image-Stitched_-9,6,13,2509,1468,67.4,26.4,59.37922476
Analysis_image-Stitched_-9,6,14,2677,1378,64.39,25.3,56.72742259
Analysis_image-Stitched_-9,6,15,2851,1469,70.35,27.6,61.97816709
Analysis_image-Stitched_-9,6,16,3020,1382,68.53,26.9,60.37475182
Analysis_image-Stitched_-9,6,17,3185,1461,70.12,27.5,61.77553769
Analysis_image-Stitched_-9,6,18,3358,1361,70.11,27.5,61.76672771
Analysis_image-Stitched_-9,6,19,3526,1454,71.51,28.0,63.00012407
Analysis_image-Stitched_-9,6,20,3694,1352,70.81,27.8,62.38342589
Analysis_image-Stitched_-9,6,21,3857,1451,12.14,4.8,10.69530844
Analysis_image-Stitched_-9,6,22,4038,1364,69.43,27.2,61.16764948
Analysis_image-Stitched_-9,6,23,4206,1440,68.16,26.7,60.04878278
Analysis_image-Stitched_-9,6,24,4378,1347,68.06,26.7,59.96068304
Analysis_image-Stitched_-9,7,1,295,1610,63.98,25.1,56.36621365
Analysis_image-Stitched_-9,7,2,470,1707,65.75,25.8,57.92557905
Analysis_image-Stitched_-9,7,3,641,1622,67.77,26.6,59.7051938
Analysis_image-Stitched_-9,7,4,809,1703,67.85,26.6,59.77567359
Analysis_image-Stitched_-9,7,5,978,1606,68.36,26.8,60.22498226
Analysis_image-Stitched_-9,7,6,1151,1697,67.07,26.3,59.08849562
Analysis_image-Stitched_-9,7,7,1318,1596,69.24,27.2,61.00025998
Analysis_image-Stitched_-9,7,8,1490,1692,67.1,26.3,59.11492554
Analysis_image-Stitched_-9,7,9,1666,1609,10.69,4.2,9.41786221
Analysis_image-Stitched_-9,7,10,1833,1681,67.67,26.5,59.61709406
Analysis_image-Stitched_-9,7,11,1998,1578,68.63,26.9,60.46285156
Analysis_image-Stitched_-9,7,12,2170,1675,66.04,25.9,58.1810683
Analysis_image-Stitched_-9,7,13,2510,1669,67.7,26.5,59.64352398
Analysis_image-Stitched_-9,7,14,2682,1569,67.99,26.7,59.89901323
Analysis_image-Stitched_-9,7,15,2847,1665,69.71,27.3,61.41432875
Analysis_image-Stitched_-9,7,16,3024,1578,70.6,27.7,62.19841644
Analysis_image-Stitched_-9,7,17,3190,1659,69.65,27.3,61.36146891
Analysis_image-Stitched_-9,7,18,3361,1560,71.1,27.9,62.63891514
Analysis_image-Stitched_-9,7,19,3538,1651,69.52,27.3,61.24693925
Analysis_image-Stitched_-9,7,20,3694,1555,68.68,26.9,60.50690143
Analysis_image-Stitched_-9,7,21,3862,1651,9.77,3.8,8.6073446
Analysis_image-Stitched_-9,7,22,4044,1560,69.32,27.2,61.07073977
Analysis_image-Stitched_-9,7,23,4210,1642,69.56,27.3,61.28217914
Analysis_image-Stitched_-9,7,24,4383,1538,67.01,26.3,59.03563577
Analysis_image-Stitched_-9,8,1,305,1813,63.0,24.7,55.5028362
Analysis_image-Stitched_-9,8,2,471,1901,65.87,25.8,58.03129874
Analysis_image-Stitched_-9,8,3,645,1818,65.41,25.7,57.62603993
Analysis_image-Stitched_-9,8,4,816,1902,65.84,25.8,58.00486882
Analysis_image-Stitched_-9,8,5,983,1797,68.12,26.7,60.01354289
Analysis_image-Stitched_-9,8,6,1153,1890,66.66,26.1,58.72728668
Analysis_image-Stitched_-9,8,7,1323,1789,67.99,26.7,59.89901323
Analysis_image-Stitched_-9,8,8,1493,1889,66.97,26.3,59.00039588
Analysis_image-Stitched_-9,8,9,1661,1798,65.65,25.7,57.83747931
Analysis_image-Stitched_-9,8,10,1841,1883,67.59,26.5,59.54661427
Analysis_image-Stitched_-9,8,11,2001,1778,66.92,26.2,58.95634601
Analysis_image-Stitched_-9,8,12,2174,1868,65.44,25.7,57.65246986
Analysis_image-Stitched_-9,8,13,2518,1866,66.23,26.0,58.3484578
Analysis_image-Stitched_-9,8,14,2685,1769,68.52,26.9,60.36594185
Analysis_image-Stitched_-9,8,15,2854,1862,68.78,27.0,60.59500117
Analysis_image-Stitched_-9,8,16,3026,1774,69.18,27.1,60.94740013
Analysis_image-Stitched_-9,8,17,3193,1858,69.64,27.3,61.35265894
Analysis_image-Stitched_-9,8,18,3363,1757,70.13,27.5,61.78434766
Analysis_image-Stitched_-9,8,19,3535,1847,69.02,27.1,60.80644055
Analysis_image-Stitched_-9,8,20,3703,1751,67.88,26.6,59.80210351
Analysis_image-Stitched_-9,8,21,3880,1843,67.11,26.3,59.12373551
Analysis_image-Stitched_-9,8,22,4043,1756,69.16,27.1,60.92978018
Analysis_image-Stitched_-9,8,23,4225,1841,67.81,26.6,59.74043369
Analysis_image-Stitched_-9,8,24,4386,1735,64.86,25.4,57.14149136
Analysis_image-Stitched_-9,9,1,313,2205,61.13,24.0,53.85537106
Analysis_image-Stitched_-9,9,2,469,2097,65.32,25.6,57.54675017
Analysis_image-Stitched_-9,9,3,652,2210,64.64,25.3,56.94767194
Analysis_image-Stitched_-9,9,4,817,2093,65.66,25.7,57.84628928
Analysis_image-Stitched_-9,9,5,991,2190,63.19,24.8,55.67022571
Analysis_image-Stitched_-9,9,6,1161,2089,64.33,25.2,56.67456274
Analysis_image-Stitched_-9,9,7,1328,2184,65.02,25.5,57.28245095
Analysis_image-Stitched_-9,9,8,1495,2079,66.59,26.1,58.66561687
Analysis_image-Stitched_-9,9,9,1673,2190,64.92,25.5,57.19435121
Analysis_image-Stitched_-9,9,10,1841,2078,67.67,26.5,59.61709406
Analysis_image-Stitched_-9,9,11,2012,2168,62.23,24.4,54.8244682
Analysis_image-Stitched_-9,9,12,2175,2067,64.73,25.4,57.0269617
Analysis_image-Stitched_-9,9,13,2514,2056,66.17,25.9,58.29559796
Analysis_image-Stitched_-9,9,14,2689,2162,65.67,25.8,57.85509926
Analysis_image-Stitched_-9,9,15,2854,2058,66.99,26.3,59.01801583
Analysis_image-Stitched_-9,9,16,3031,2166,67.03,26.3,59.05325572
Analysis_image-Stitched_-9,9,17,3199,2051,68.87,27.0,60.67429094
Analysis_image-Stitched_-9,9,18,3369,2147,66.22,26.0,58.33964783
Analysis_image-Stitched_-9,9,19,3546,2043,67.69,26.5,59.63471401
Analysis_image-Stitched_-9,9,20,3710,2141,66.1,25.9,58.23392814
Analysis_image-Stitched_-9,9,21,3874,2044,68.44,26.8,60.29546206
Analysis_image-Stitched_-9,9,22,4053,2148,65.13,25.5,57.37936066
Analysis_image-Stitched_-9,9,23,4223,2033,65.23,25.6,57.4674604
Analysis_image-Stitched_-9,9,24,4389,2130,62.19,24.4,54.78922831
Analysis_image-Stitched_-9,10,1,313,2402,62.49,24.5,55.05352753
Analysis_image-Stitched_-9,10,2,482,2294,64.33,25.2,56.67456274
Analysis_image-Stitched_-9,10,3,654,2406,64.86,25.4,57.14149136
Analysis_image-Stitched_-9,10,4,823,2288,65.92,25.9,58.07534861
Analysis_image-Stitched_-9,10,5,992,2382,64.93,25.5,57.20316118
Analysis_image-Stitched_-9,10,6,1163,2288,11.24,4.4,9.90241078
Analysis_image-Stitched_-9,10,7,1337,2380,65.51,25.7,57.71413967
Analysis_image-Stitched_-9,10,8,1499,2278,65.69,25.8,57.87271921
Analysis_image-Stitched_-9,10,9,1675,2386,65.67,25.8,57.85509926
Analysis_image-Stitched_-9,10,10,1840,2274,66.21,26.0,58.33083785
Analysis_image-Stitched_-9,10,11,2014,2372,63.41,24.9,55.86404513
Analysis_image-Stitched_-9,10,12,2170,2244,11.45,4.5,10.08742023
Analysis_image-Stitched_-9,10,13,2510,2239,11.25,4.4,9.91122075
Analysis_image-Stitched_-9,10,14,2695,2358,66.23,26.0,58.3484578
Analysis_image-Stitched_-9,10,15,2857,2257,66.95,26.3,58.98277593
Analysis_image-Stitched_-9,10,16,3031,2362,66.76,26.2,58.81538642
Analysis_image-Stitched_-9,10,17,3199,2252,67.3,26.4,59.29112502
Analysis_image-Stitched_-9,10,18,3373,2343,66.93,26.2,58.96515598
Analysis_image-Stitched_-9,10,19,3531,2220,13.38,5.2,11.78774521
Analysis_image-Stitched_-9,10,20,3716,2342,66.71,26.2,58.77133655
Analysis_image-Stitched_-9,10,21,3889,2239,67.29,26.4,59.28231505
Analysis_image-Stitched_-9,10,22,4056,2344,66.24,26.0,58.35726778
Analysis_image-Stitched_-9,10,23,4221,2233,66.24,26.0,58.35726778
Analysis_image-Stitched_-9,10,24,4398,2323,63.1,24.7,55.59093594
Analysis_image-Stitched_-9,11,1,318,2595,60.79,23.8,53.55583195
Analysis_image-Stitched_-9,11,2,489,2491,63.44,24.9,55.89047506
Analysis_image-Stitched_-9,11,3,660,2602,63.31,24.8,55.77594539
Analysis_image-Stitched_-9,11,4,824,2484,65.09,25.5,57.34412077
Analysis_image-Stitched_-9,11,5,998,2581,64.94,25.5,57.21197116
Analysis_image-Stitched_-9,11,6,1170,2481,63.0,24.7,55.5028362
Analysis_image-Stitched_-9,11,7,1340,2578,65.03,25.5,57.29126092
Analysis_image-Stitched_-9,11,8,1505,2476,65.64,25.7,57.82866934
Analysis_image-Stitched_-9,11,9,1678,2582,52.23,20.5,46.0144942
Analysis_image-Stitched_-9,11,10,1845,2465,64.74,25.4,57.03577168
Analysis_image-Stitched_-9,11,11,2017,2564,63.94,25.1,56.33097376
Analysis_image-Stitched_-9,11,12,2191,2459,60.88,23.9,53.63512171
Analysis_image-Stitched_-9,11,13,2527,2454,61.94,24.3,54.56897896
Analysis_image-Stitched_-9,11,14,2703,2555,66.02,25.9,58.16344835
Analysis_image-Stitched_-9,11,15,2862,2450,67.44,26.4,59.41446466
Analysis_image-Stitched_-9,11,16,3038,2559,65.44,25.7,57.65246986
Analysis_image-Stitched_-9,11,17,3202,2440,65.8,25.8,57.96962892
Analysis_image-Stitched_-9,11,18,3373,2538,65.73,25.8,57.9079591
