image,row,col,x,y,brightness,brightness_pct,Power_uW
Analysis_image-Stitched_-9,15,22,4070,3324,62.36,24.5,54.93899786
Analysis_image-Stitched_-9,15,23,4245,3216,62.37,24.5,54.94780784
Analysis_image-Stitched_-9,15,24,4417,3303,59.55,23.4,52.46339517
Analysis_image-Stitched_-9,16,1,344,3575,56.08,22.0,49.40633419
Analysis_image-Stitched_-9,16,2,500,3487,7.94,3.1,6.99511936
Analysis_image-Stitched_-9,16,3,671,3582,24.65,9.7,21.71658591
Analysis_image-Stitched_-9,16,4,850,3471,60.21,23.6,53.04485345
Analysis_image-Stitched_-9,16,5,1022,3560,58.0,22.7,51.0978492
Analysis_image-Stitched_-9,16,6,1187,3446,8.44,3.3,7.43561806
Analysis_image-Stitched_-9,16,7,1361,3559,60.17,23.6,53.00961356
Analysis_image-Stitched_-9,16,8,1513,3452,10.86,4.3,9.56763176
Analysis_image-Stitched_-9,16,9,1700,3562,59.64,23.4,52.54268494
Analysis_image-Stitched_-9,16,10,1853,3462,9.43,3.7,8.30780548
Analysis_image-Stitched_-9,16,11,2039,3544,60.58,23.8,53.37082249
Analysis_image-Stitched_-9,16,12,2194,3435,6.9,2.7,6.07888206
Analysis_image-Stitched_-9,16,13,2545,3434,61.06,23.9,53.79370124
Analysis_image-Stitched_-9,16,14,2721,3537,61.75,24.2,54.40158945
Analysis_image-Stitched_-9,16,15,2886,3435,63.95,25.1,56.33978373
Analysis_image-Stitched_-9,16,16,3048,3555,8.44,3.3,7.43561806
Analysis_image-Stitched_-9,16,17,3234,3421,64.03,25.1,56.41026352
Analysis_image-Stitched_-9,16,18,3402,3524,61.67,24.2,54.33110966
Analysis_image-Stitched_-9,16,19,3570,3415,45.83,18.0,40.37611084
Analysis_image-Stitched_-9,16,20,3745,3517,59.93,23.5,52.79817418
Analysis_image-Stitched_-9,16,21,3914,3427,9.77,3.8,8.6073446
Analysis_image-Stitched_-9,16,22,4081,3520,59.29,23.3,52.23433585
Analysis_image-Stitched_-9,16,23,4246,3409,60.43,23.7,53.23867288
Analysis_image-Stitched_-9,16,24,4407,3498,8.84,3.5,7.78801702
